item_id,name,discount_price,percentage_discount,regular_price,date_added,url
702294,Feel Free Pink Petals Rose - zestaw,34.99,-40.0,57.99,2023-07-26,https://www.pepper.pl/promocje/feel-free-pink-petals-rose-zestaw-702294
702295,Komplet bawełnianej pościeli w kratę - 160x200 / 70x80 cm dwa kolory,55.99,NA,NA,2023-07-26,https://www.pepper.pl/promocje/komplet-bawelnianej-poscieli-w-krate-160x200-70x80-cm-dwa-kolory-702295
702293,Kamień do pizzy @ Lidl,19.14,-40.0,31.9,2023-07-26,https://www.pepper.pl/promocje/kamien-do-pizzy-w-lidlu-702293
702291,Rower MTB SENSA Merano Evo SLE powietrzny amor 1x12 napęd sztywne osie za 3999 zł,3999.0,NA,NA,2023-07-26,https://www.pepper.pl/promocje/rower-mtb-sensa-merano-evo-sle-powietrzny-amor-1x12-naped-sztywne-osie-za-3999-zl-702291
702290,Kask rowerowy Uvex I-VO 3D,125.0,NA,NA,2023-07-26,https://www.pepper.pl/promocje/kask-rowerowy-uvex-i-vo-3d-702290
702289,Spodnie dresowe adidas Essentials Tapered Pants,84.5,NA,NA,2023-07-26,https://www.pepper.pl/promocje/spodnie-dresowe-adidas-essentials-tapered-pants-702289
702288,Kolorowe skarpetki 5-pak Cropp,15.99,-20.0,19.99,2023-07-26,https://www.pepper.pl/promocje/kolorowe-skarpetki-5-pak-cropp-702288
700996,"Resident Evil Village / Resident Evil 8 za 34,60 zł / Resident Evil 8 Gold Edition za 50,77 zł - TURKEY VPN @ Xbox One",34.6,NA,NA,2023-07-26,https://www.pepper.pl/promocje/resident-evil-village-resident-evil-8-za-3530-zl-resident-evil-village-resident-evil-8-gold-edition-turkey-vpn-za-61-zl-at-xbox-one-700996
702284,Otwarcie Aldi Gniezno - bon o wartości 100zl za wydane 100zl,NA,NA,NA,2023-07-26,https://www.pepper.pl/promocje/otwarcie-aldi-gniezno-bon-o-wartosci-100zl-za-wydane-100zl-702284
702285,Kupon na 10 zł przy zakupach za 49 zł dla nowych użytkowników aplikacji Polomarket,NA,NA,NA,2023-07-26,https://www.pepper.pl/promocje/kupon-na-10-zl-przy-zakupach-za-49-zl-dla-nowych-uzytkownikow-aplikacji-polomarket-702285
702286,"Bolt karnet na hulajnogi 22zl za 7dni, bez limitu odblokowań. Warszawa",22.0,NA,NA,2023-07-26,https://www.pepper.pl/promocje/bolt-karnet-na-hulajnogi-22zl-za-7dni-bez-limitu-odblokowan-warszawa-702286
702282,"Fasolka szparagowa, 6,99/ kg. Biedronka",6.99,-53.0,14.99,2023-07-26,https://www.pepper.pl/promocje/fasolka-szparagowa-699-kg-biedronka-702282
702281,"Buty sportowe Pull&Bear rozm. 43, 45",34.9,-65.0,99.0,2023-07-26,https://www.pepper.pl/promocje/buty-sportowe-pullbear-rozm-43-45-702281
702276,MacBook Air 8/256 z kartami alerabat 4239zł,4399.0,NA,NA,2023-07-26,https://www.pepper.pl/promocje/macbook-air-8256-z-kartami-alerabat-702276
702280,Filet z piersi kurczaka kg @Biedronka,12.99,-46.0,23.9,2023-07-26,https://www.pepper.pl/promocje/filet-z-piersi-kurczaka-kg-at-biedronka-702280
702279,Lody Carte D'Or 850 ml - 1000 ml Drugi tańszy produkt za 1 zł @Biedronka,NA,NA,NA,2023-07-26,https://www.pepper.pl/kupony/lody-carte-dor-850-ml-1000-ml-drugi-tanszy-produkt-za-1-zl-at-biedronka-702279
702278,Call of Duty WWII Gold Edition XBOX LIVE Key ARGENTINA VPN @ Xbox One,17.19,NA,NA,2023-07-26,https://www.pepper.pl/promocje/call-of-duty-wwii-gold-edition-xbox-live-key-argentina-vpn-at-xbox-one-702278
702275,"Przeceny na kilka mocniejszych alkoholi w Szczecinie Carrefour Turzyn: Bacardi, Chopin, Bombay, Hendrick's, Auchentoshan",NA,NA,NA,2023-07-26,https://www.pepper.pl/promocje/przeceny-na-kilka-mocniejszych-alkoholi-w-szczecinie-carrefour-turzyn-bacardi-chopin-bombay-hendricks-auchentoshan-702275
702274,Włoskie wino półwytrawne Lidl,6.12,NA,NA,2023-07-26,https://www.pepper.pl/promocje/wloskie-wino-polwytrawne-z-lidla-702274
702273,Piwo Kasztelan but.zw. 500ml 10+10 gratis @Biedronka,1.57,-50.0,3.15,2023-07-26,https://www.pepper.pl/promocje/piwo-kasztelan-butzw-500ml-1010-gratis-at-biedronka-702273
702272,Maszynka do strzyżenia włosów Enchen Boost B,35.9,-27.0,49.0,2023-07-26,https://www.pepper.pl/promocje/maszynka-do-strzyzenia-wlosow-enchen-boost-b-702272
702270,Jacuzzi Hawaii z HydroJet w Selgros,2447.7,NA,NA,2023-07-26,https://www.pepper.pl/promocje/jacuzzi-hawaii-z-hydrojet-w-selgros-702270
702269,"Chleb Polski 500g, tradycyjny bez konserwantów bez wzmacniaczy smaku, 1.99 @Dino",1.99,-20.0,2.49,2023-07-26,https://www.pepper.pl/promocje/chleb-polski-500g-tradycyjny-bez-konserwantow-bez-wzmacniaczy-smaku-at-dino-702269
702268,Kask szosowy BELL Formula MIPS,289.0,-9.0,319.0,2023-07-26,https://www.pepper.pl/promocje/kask-szosowy-bell-formula-mips-702268
702265,XIAOMI Odtwarzacz multimedialny TV Box S 2 Gen (możliwe 217zł),237.0,-12.0,269.0,2023-07-26,https://www.pepper.pl/promocje/xiaomi-odtwarzacz-multimedialny-tv-box-s-2-gen-702265
